Artist and Title,Streams,Daily,clean_artist,song,streams_millions
Dean Lewis - Be Alright,1554519880,669068.0,Dean Lewis,Be Alright,1554.51988
Foster The People - Pumped Up Kicks,1539461331,720375.0,Foster The People,Pumped Up Kicks,1539.461331
Post Malone - I Fall Apart,1532303636,439954.0,Post Malone,I Fall Apart,1532.303636
Sia - Chandelier,1532201468,637526.0,Sia,Chandelier,1532.201468
a-ha - Take on Me,1530986581,1169591.0,a-ha,Take on Me,1530.986581
Calvin Harris - This Is What You Came For,1527860257,670453.0,Calvin Harris,This Is What You Came For,1527.860257
TOTO - Africa,1522327396,818164.0,TOTO,Africa,1522.327396
Post Malone - Wow.,1515702290,744583.0,Post Malone,Wow.,1515.70229
ZAYN - Dusk Till Dawn,1512253724,566912.0,ZAYN,Dusk Till Dawn,1512.253724
OMI - Cheerleader,1508032779,569486.0,OMI,Cheerleader,1508.032779
Powfu - death bed (coffee for your head),1505911272,540366.0,Powfu,death bed (coffee for your head),1505.911272
Avicii - The Nights,1503679814,1056537.0,Avicii,The Nights,1503.679814
Ava Max - Sweet but Psycho,1491088042,507165.0,Ava Max,Sweet but Psycho,1491.088042
Trevor Daniel - Falling,1483329267,408420.0,Trevor Daniel,Falling,1483.329267
Lord Huron - The Night We Met,1478142552,1491797.0,Lord Huron,The Night We Met,1478.142552
DJ Snake - Taki Taki,1474825598,398889.0,DJ Snake,Taki Taki,1474.825598
J Balvin - LA CANCIÃÂN,1474355961,808273.0,J Balvin,LA CANCIÃÂN,1474.355961
Justin Bieber - Peaches,1472934434,565872.0,Justin Bieber,Peaches,1472.934434
Justin Bieber - What Do You Mean?,1456843449,417427.0,Justin Bieber,What Do You Mean?,1456.843449
ZAYN - I DonÃ¢ÂÂt Wanna Live Forever (Fifty Shades Darker),1456114042,590660.0,ZAYN,I DonÃ¢ÂÂt Wanna Live Forever (Fifty Shades Darker),1456.114042
Panic! At The Disco - High Hopes,1451318544,451346.0,Panic! At The Disco,High Hopes,1451.318544
DNCE - Cake By The Ocean,1449668324,590478.0,DNCE,Cake By The Ocean,1449.668324
WALK THE MOON - Shut Up and Dance,1440041644,715533.0,WALK THE MOON,Shut Up and Dance,1440.041644
Post Malone - Psycho,1437066850,340437.0,Post Malone,Psycho,1437.06685
Future - Mask Off,1430002912,594685.0,Future,Mask Off,1430.002912
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",1426363030,1373145.0,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",1426.36303
